emp;uni;uni_fabril;bitola;formato;tipologia;un;descricao;sit;lote
1;31;SC2;7600;90X90;PORC GL;M2;GRES 90X90 10MM SC2;LB;2000
1;31;SC2;6850;100X100;PORC UGL;M2;PORC GL 100X100 PO;LB;2000
1;31;SC2;6456;30X90;PORC GL;M2;REV. 30X90 9MM;LB;2000
1;31;SC2;6939;33X61;PORC GL;M2;PAREDE 33X61 CM;LB;2000
1;31;SC2;6943;32X60;PORC GL;M2;PAREDE 32X60 CM;LB;2000
1;31;SC2;7301;30X60;PORC GL;M2;PORC GL 30X60 AC SC2;LB;2000
1;31;SC2;7302;30X60;PORC GL;M2;PORC GL 30X60 PO SC2;LB;2000
1;31;SC2;6906;32X60;PORC GL;M2;AZULEJO 32X60;LB;2000
1;31;SC2;6907;33X61;PORC GL;M2;AZULEJO 33X61;LB;2000
1;31;SC2;7593;30X90;PORC GL;M2;REV 30X90 9MM 6PC/CX;LB;2000
1;31;SC2;7594;30X90;PORC GL;M2;REV 30X90 12MM 5PC/C;LB;2000
1;63;SC3;6599;19,7X120;PORC GL;M2;PORC GL 19,7X120;LB;2000
1;63;SC3;6541;120X120;PORC GL;M2;PORC GL 120X120;LB;2000
1;63;SC3;6597;19,7X120;PORC GL;M2;GRES 19,7X120;LB;2000
1;63;SC3;6418;60X120;PORC GL;M2;PORC GL 60X120 9,5MM;LB;2000
1;63;SC3;6459;90X90;PORC GL;M2;PORC GL 90X90 10MM;LB;2000
1;63;SC3;7255;29,7X120;PORC GL;M2;PORC GL 29,7X120 5PC;LB;2000
1;63;SC3;6543;120X120;PORC GL;M2;PORC GL 120X120 PO;LB;2000
1;63;SC3;4225;45X45;PORC GL;M2;PISO 45X45 CM-6,5mm;LB;2000
1;63;SC3;6475;90X90;PORC GL;M2;PGL 90X90 PO 10MM;LB;2000
1;63;SC3;6592;60X120;PORC GL;M2;GRES 60X120;LB;2000
1;41;SC4;6477;90X90;PORC GL;M2;PUGL 90X90 10MM;LB;2000
1;41;SC4;7373;60X60;PORC GL;M2;PUGL 60X60 NA 8MM;LB;2000
1;41;SC4;7374;80X80;PORC GL;M2;PORC UGL 80X80 4PC;LB;2000
1;41;SC4;7368;60X60;PORC GL;M2;PUGL 60X60 PO 7,2MM;LB;2000
1;41;SC4;7372;80X80;PORC GL;M2;PORC UGL 80X80 PO;LB;2000
1;41;SC4;6658;60X60;PORC GL;M2;PORC UGL 60X60 8,5MM;LB;2000
1;41;SC4;6614;80X80;PORC GL;M2;PORC UGL 80X80;LB;2000
1;41;SC4;6657;60X60;PORC GL;M2;PORC UGL 60X60PO 8MM;LB;2000
